round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,hidden_neurons,last_activation,loss,optimizer
10,0.17522176357174138,0.9495413,2.450076103210449,0.265625,elu,32,0.0,10,65,35,287,sigmoid,binary_crossentropy,adam
24,0.20357347481094787,0.9577982,0.6206293702125549,0.8125,relu,32,0.5,24,50,15,287,sigmoid,binary_crossentropy,RMSprop
5,0.0631729884624242,0.98073393,0.6703913509845734,0.8125,relu,32,0.25,5,65,5,357,sigmoid,binary_crossentropy,adam
10,0.06864624560528665,0.9733945,0.8936581313610077,0.75,relu,32,0.25,10,35,5,147,sigmoid,binary_crossentropy,adam
24,0.29157147396595107,0.9495413,0.6931471824645996,0.265625,elu,32,0.25,24,65,15,427,sigmoid,sparse_categorical_crossentropy,adam
1,1.1616268499181905,0.88440365,0.6931471824645996,0.265625,elu,32,0.0,1,20,35,427,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.1512004777434628,0.9495413,0.814820259809494,0.265625,relu,10,0.5,10,20,15,217,sigmoid,sparse_categorical_crossentropy,adam
1,0.4640766758847674,0.9495413,1.8878479972481728,0.265625,relu,10,0.0,1,65,35,7,sigmoid,sparse_categorical_crossentropy,RMSprop
5,0.529257643500687,0.94678897,0.8080928307026625,0.265625,elu,10,0.5,5,20,35,77,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.18928356389386938,0.9495413,0.7847967445850372,0.265625,elu,32,0.5,24,50,15,147,sigmoid,sparse_categorical_crossentropy,RMSprop
1,0.5389133038110347,0.9357798,0.8106068316847086,0.265625,relu,10,0.5,1,50,15,147,sigmoid,binary_crossentropy,adam
10,0.28330081266547563,0.9495413,1.9199249744415283,0.265625,relu,32,0.25,10,35,35,7,sigmoid,binary_crossentropy,adam
5,0.20745355584859607,0.9504587,2.1548608485609293,0.4375,elu,10,0.5,5,65,5,147,sigmoid,sparse_categorical_crossentropy,RMSprop
24,0.07793649467303196,0.9779816,2.2699098587036133,0.40625,elu,32,0.25,24,65,5,77,sigmoid,sparse_categorical_crossentropy,adam
5,0.3374567220931651,0.9376147,0.824550449848175,0.265625,elu,32,0.5,5,50,15,217,sigmoid,binary_crossentropy,RMSprop
10,0.04680634605315932,0.98623854,1.1540678408928216,0.5625,elu,10,0.0,10,35,5,7,sigmoid,binary_crossentropy,adam
5,0.6502107027840668,0.94862384,0.7209370583295822,0.265625,elu,10,0.5,5,65,35,147,sigmoid,sparse_categorical_crossentropy,RMSprop
10,0.09151409925920685,0.97889906,1.0136987697333097,0.625,relu,10,0.25,10,50,5,147,sigmoid,binary_crossentropy,RMSprop
